"RestoreType","ObjectName","InitiatedBy","Status","StartDate","StartTime","EndDate","EndTime","ElapsedTime","Reason"
"Instant VM Recovery","EXCH-MBX01","CONTOSO\helpdesk","Success","2026-07-24","14:49:00","2026-07-24","15:15:18","00:26:18",""
"File-Level Restore","DC01","CONTOSO\admin","Success","2026-07-24","08:42:00","2026-07-24","09:23:54","01:41:54",""
"File-Level Restore","SQLPROD01","CONTOSO\admin","Success","2026-07-24","17:25:00","2026-07-24","17:31:35","00:06:35",""
"Full VM Restore","FILESRV01","CONTOSO\backup_op","Success","2026-07-24","16:07:00","2026-07-24","16:38:52","01:31:52",""
"Guest File Restore","APP-NODE-03","CONTOSO\backup_op","Success","2026-07-25","17:57:00","2026-07-25","19:04:52","01:07:52",""
"Application Item Restore","FILESRV01","CONTOSO\admin","Success","2026-07-25","16:02:00","2026-07-25","17:10:33","01:08:33",""
"Instant VM Recovery","WEB-APP-02","CONTOSO\admin","Success","2026-07-25","17:41:00","2026-07-25","18:36:33","01:55:33",""
"Application Item Restore","EXCH-MBX01","CONTOSO\helpdesk","Success","2026-07-25","10:54:00","2026-07-25","11:59:06","01:05:06",""
"Application Item Restore","APP-NODE-03","CONTOSO\backup_op","Success","2026-07-26","13:24:00","2026-07-26","13:51:03","00:27:03",""
"Full VM Restore","ERP-DB","CONTOSO\admin","Success","2026-07-26","12:08:00","2026-07-26","12:47:22","01:39:22",""
"Application Item Restore","FILESRV01","CONTOSO\helpdesk","Success","2026-07-26","14:11:00","2026-07-26","14:41:11","01:30:11",""
"Instant VM Recovery","ERP-DB","CONTOSO\admin","Success","2026-07-26","19:56:00","2026-07-26","21:00:20","01:04:20",""
"Guest File Restore","EXCH-MBX01","CONTOSO\backup_op","Success","2026-07-26","08:28:00","2026-07-26","08:57:15","00:29:15",""
"Full VM Restore","FILESRV01","CONTOSO\backup_op","Success","2026-07-27","16:15:00","2026-07-27","17:14:33","01:59:33",""
"Full VM Restore","FILESRV01","CONTOSO\helpdesk","Success","2026-07-27","14:11:00","2026-07-27","14:17:20","00:06:20",""
"File-Level Restore","DC01","CONTOSO\backup_op","Success","2026-07-27","09:52:00","2026-07-27","10:07:04","00:15:04",""
"Application Item Restore","FILESRV01","CONTOSO\helpdesk","Success","2026-07-27","13:03:00","2026-07-27","13:07:07","00:04:07",""
"Guest File Restore","DC01","CONTOSO\admin","Success","2026-07-28","09:13:00","2026-07-28","10:16:50","01:03:50",""
"File-Level Restore","FILESRV01","CONTOSO\helpdesk","Success","2026-07-28","18:22:00","2026-07-28","18:37:18","00:15:18",""
"Instant VM Recovery","DC01","CONTOSO\helpdesk","Success","2026-07-29","10:26:00","2026-07-29","11:14:27","01:48:27",""
"File-Level Restore","WEB-APP-02","CONTOSO\helpdesk","Success","2026-07-29","14:37:00","2026-07-29","14:41:10","00:04:10",""
"Full VM Restore","EXCH-MBX01","CONTOSO\backup_op","Success","2026-07-30","15:53:00","2026-07-30","17:01:35","01:08:35",""
"Full VM Restore","EXCH-MBX01","CONTOSO\admin","Failed","2026-07-30","16:23:00","2026-07-30","16:43:58","00:20:58","Restore failed: sample error (demo)"
"Guest File Restore","APP-NODE-03","CONTOSO\helpdesk","Success","2026-07-30","16:14:00","2026-07-30","16:18:49","00:04:49",""
"File-Level Restore","ERP-DB","CONTOSO\admin","Success","2026-07-30","18:04:00","2026-07-30","18:27:18","00:23:18",""
"Full VM Restore","DC01","CONTOSO\backup_op","Failed","2026-07-30","12:51:00","2026-07-30","13:02:54","00:11:54","Restore failed: sample error (demo)"
"Disk Restore","EXCH-MBX01","CONTOSO\admin","Success","2026-07-31","11:58:00","2026-07-31","12:44:53","01:46:53",""
"Instant VM Recovery","APP-NODE-03","CONTOSO\helpdesk","Success","2026-07-31","08:22:00","2026-07-31","08:56:33","01:34:33",""
"Guest File Restore","EXCH-MBX01","CONTOSO\helpdesk","Failed","2026-07-31","08:32:00","2026-07-31","08:55:45","00:23:45","Restore failed: sample error (demo)"
"Full VM Restore","FILESRV01","CONTOSO\backup_op","Success","2026-07-31","15:46:00","2026-07-31","16:46:26","01:00:26",""
"Full VM Restore","APP-NODE-03","CONTOSO\admin","Success","2026-08-01","08:58:00","2026-08-01","09:21:07","00:23:07",""
"Application Item Restore","SQLPROD01","CONTOSO\helpdesk","Success","2026-08-01","08:31:00","2026-08-01","08:37:13","00:06:13",""
"Disk Restore","ERP-DB","CONTOSO\backup_op","Success","2026-08-02","09:17:00","2026-08-02","09:42:39","00:25:39",""
"Application Item Restore","WEB-APP-02","CONTOSO\helpdesk","Success","2026-08-02","09:29:00","2026-08-02","10:31:56","01:02:56",""
"Instant VM Recovery","DC01","CONTOSO\helpdesk","Failed","2026-08-03","16:27:00","2026-08-03","17:21:01","01:54:01","Restore failed: sample error (demo)"
"Instant VM Recovery","EXCH-MBX01","CONTOSO\helpdesk","Failed","2026-08-03","18:45:00","2026-08-03","19:44:55","01:59:55","Restore failed: sample error (demo)"
"Disk Restore","APP-NODE-03","CONTOSO\helpdesk","Success","2026-08-04","09:46:00","2026-08-04","10:35:44","01:49:44",""
"Guest File Restore","EXCH-MBX01","CONTOSO\backup_op","Success","2026-08-04","16:42:00","2026-08-04","17:19:39","01:37:39",""
"Instant VM Recovery","FILESRV01","CONTOSO\backup_op","Success","2026-08-04","13:17:00","2026-08-04","14:17:33","01:00:33",""
"Instant VM Recovery","DC01","CONTOSO\backup_op","Success","2026-08-04","17:10:00","2026-08-04","17:51:49","01:41:49",""
"File-Level Restore","ERP-DB","CONTOSO\helpdesk","Warning","2026-08-04","17:48:00","2026-08-04","17:56:23","00:08:23","Completed with warnings (demo)"
"Guest File Restore","EXCH-MBX01","CONTOSO\admin","Success","2026-08-05","19:32:00","2026-08-05","19:36:27","00:04:27",""
"File-Level Restore","FILESRV01","CONTOSO\backup_op","Failed","2026-08-05","12:57:00","2026-08-05","13:40:09","01:43:09","Restore failed: sample error (demo)"
"File-Level Restore","FILESRV01","CONTOSO\backup_op","Success","2026-08-05","09:13:00","2026-08-05","09:43:37","01:30:37",""
"Full VM Restore","APP-NODE-03","CONTOSO\helpdesk","Success","2026-08-05","09:00:00","2026-08-05","09:29:57","00:29:57",""
"Guest File Restore","DC01","CONTOSO\backup_op","Success","2026-08-05","13:32:00","2026-08-05","14:17:31","01:45:31",""
"Disk Restore","EXCH-MBX01","CONTOSO\backup_op","Warning","2026-08-06","10:03:00","2026-08-06","10:38:03","01:35:03","Completed with warnings (demo)"
"File-Level Restore","ERP-DB","CONTOSO\helpdesk","Success","2026-08-06","08:21:00","2026-08-06","08:39:29","00:18:29",""
"File-Level Restore","EXCH-MBX01","CONTOSO\backup_op","Success","2026-08-06","12:45:00","2026-08-06","13:14:09","00:29:09",""
